Date,Open,High,Low,Close
1-January-2001,1184.45,1194.36,1167.19,1173.82,
2-January-2001,1174.00,1192.85,1166.08,1191.08,
3-January-2001,1177.49,1200.15,1175.52,1199.21,
4-January-2001,1243.59,1248.00,1228.29,1229.68,
5-January-2001,1230.82,1256.74,1230.77,1255.41,
8-January-2001,1247.50,1258.80,1220.34,1228.70,
9-January-2001,1225.93,1243.21,1220.33,1231.51,
10-January-2001,1240.27,1245.86,1213.11,1216.59,
11-January-2001,1222.29,1224.30,1193.74,1197.26,
12-January-2001,1207.83,1215.48,1191.96,1201.92,
15-January-2001,1211.83,1213.39,1193.77,1204.78,
16-January-2001,1205.73,1217.02,1201.18,1207.19,
17-January-2001,1216.29,1220.94,1202.46,1207.84,
18-January-2001,1216.57,1227.48,1211.24,1225.42,
19-January-2001,1243.84,1267.29,1243.19,1265.61,
22-January-2001,1281.72,1282.52,1270.39,1274.99,
23-January-2001,1274.05,1282.77,1270.05,1273.82,
24-January-2001,1282.93,1289.37,1271.86,1287.40,
25-January-2001,1288.47,1289.72,1268.35,1286.00,
29-January-2001,1240.63,1263.71,1237.37,1255.96,
30-January-2001,1265.14,1294.87,1262.41,1294.37,
31-January-2001,1293.85,1306.83,1279.79,1281.40,
1-February-2001,1273.30,1281.10,1246.77,1261.97,
2-February-2001,1260.24,1295.00,1260.24,1284.05,
5-February-2001,1281.45,1302.98,1281.45,1293.55,
6-February-2001,1300.73,1307.55,1295.49,1299.41,
7-February-2001,1302.86,1303.55,1281.71,1284.26,
8-February-2001,1277.32,1309.20,1277.07,1307.76,
9-February-2001,1313.78,1328.89,1312.88,1314.50,
12-February-2001,1325.57,1328.15,1311.78,1323.27,
13-February-2001,1334.85,1334.97,1309.64,1311.03,
14-February-2001,1306.13,1311.91,1294.51,1306.29,
15-February-2001,1310.06,1332.58,1309.28,1328.34,
16-February-2001,1334.55,1335.69,1284.12,1287.41,
19-February-2001,1298.63,1303.84,1276.74,1295.36,
20-February-2001,1299.21,1301.57,1290.85,1293.33,
21-February-2001,1284.66,1290.56,1265.11,1272.09,
22-February-2001,1255.71,1262.72,1228.00,1256.37,
23-February-2001,1256.44,1260.55,1206.56,1208.67,
26-February-2001,1223.09,1225.57,1195.18,1210.19,
27-February-2001,1218.88,1222.54,1171.94,1187.41,
28-February-2001,1183.01,1250.06,1174.90,1241.04,
1-March-2001,1251.82,1279.76,1222.84,1240.56,
2-March-2001,1256.96,1260.53,1167.73,1172.52,
5-March-2001,1161.19,1180.09,1122.08,1140.33,
7-March-2001,1161.89,1178.97,1115.08,1160.20,
8-March-2001,1172.55,1178.40,1145.48,1159.21,
9-March-2001,1138.43,1138.43,1077.55,1093.44,
12-March-2001,1118.37,1125.46,1042.16,1046.97,
13-March-2001,1002.87,1049.04,947.66,973.25,
14-March-2001,959.99,1036.01,959.45,1029.44,
15-March-2001,1010.59,1060.06,1007.25,1058.54,
16-March-2001,1040.51,1076.06,1025.05,1040.59,
19-March-2001,1034.80,1050.94,1022.70,1034.92,
20-March-2001,1039.29,1039.80,1009.64,1019.91,
21-March-2001,1004.84,1045.23,997.55,1042.20,
22-March-2001,1039.91,1049.21,1017.41,1020.57,
23-March-2001,1027.24,1029.18,976.49,994.43,
26-March-2001,993.86,999.66,981.25,996.84,
27-March-2001,995.08,1019.64,994.02,1012.29,
28-March-2001,1026.14,1041.94,1026.14,1039.29,
29-March-2001,1024.42,1037.28,1015.00,1024.45,
30-March-2001,1014.29,1015.70,977.70,981.19,
2-April-2001,951.84,965.88,926.32,962.37,
3-April-2001,954.09,980.15,954.09,974.71,
4-April-2001,959.32,966.92,946.37,964.22,
6-April-2001,991.94,996.37,956.04,961.99,
9-April-2001,960.00,964.81,945.81,955.05,
10-April-2001,956.19,956.19,921.23,931.12,
11-April-2001,938.44,938.55,883.86,890.29,
12-April-2001,872.22,872.22,832.85,854.30,
16-April-2001,851.12,881.29,838.35,879.85,
17-April-2001,874.54,910.57,873.38,904.97,
18-April-2001,907.18,949.51,907.18,949.05,
19-April-2001,981.88,1000.59,957.12,977.94,
20-April-2001,993.31,995.60,966.99,988.57,
23-April-2001,988.52,1002.79,981.50,990.11,
24-April-2001,978.64,999.06,974.59,998.66,
25-April-2001,1000.75,1014.26,992.68,1002.87,
26-April-2001,1018.56,1018.56,987.80,989.67,
27-April-2001,946.65,959.91,930.48,942.36,
30-April-2001,949.11,976.01,943.62,975.57,
2-May-2001,991.40,1003.75,983.20,985.07,
3-May-2001,984.67,993.41,974.79,982.41,
4-May-2001,974.18,994.35,972.97,992.28,
7-May-2001,1006.89,1012.33,1003.00,1005.63,
8-May-2001,1005.66,1020.21,1005.66,1018.40,
9-May-2001,1018.44,1024.77,1002.12,1006.01,
10-May-2001,1006.03,1008.25,995.67,1001.14,
11-May-2001,1000.16,1002.94,990.70,995.37,
14-May-2001,993.96,1001.62,989.03,996.59,
15-May-2001,974.66,1001.46,953.40,999.98,
16-May-2001,1003.13,1016.43,1003.13,1006.22,
17-May-2001,1011.03,1030.16,1011.03,1027.12,
18-May-2001,1028.73,1036.60,1022.56,1024.55,
21-May-2001,1023.80,1034.23,1021.11,1024.49,
22-May-2001,1025.06,1032.59,1025.06,1028.75,
23-May-2001,1028.95,1041.73,1028.95,1039.39,
24-May-2001,1038.10,1049.41,1035.98,1039.25,
25-May-2001,1040.09,1045.17,1029.81,1033.57,
28-May-2001,1035.72,1055.44,1035.72,1053.33,
29-May-2001,1057.46,1061.97,1056.15,1059.13,
30-May-2001,1059.83,1061.92,1030.02,1032.72,
31-May-2001,1022.09,1024.09,1008.78,1022.74,
1-June-2001,1023.99,1028.79,1005.52,1006.24,
4-June-2001,1007.92,1015.37,983.47,984.92,
5-June-2001,983.96,989.89,967.64,973.14,
6-June-2001,979.21,989.29,974.74,977.42,
7-June-2001,976.52,978.20,957.13,976.65,
8-June-2001,981.53,991.28,977.87,989.91,
11-June-2001,991.44,997.69,984.96,992.99,
12-June-2001,991.03,993.26,984.39,992.35,
13-June-2001,992.91,999.98,991.60,993.49,
14-June-2001,990.83,992.35,976.25,977.84,
15-June-2001,972.99,972.99,949.86,952.91,
18-June-2001,950.27,950.27,929.26,947.14,
19-June-2001,947.75,961.61,942.14,959.26,
20-June-2001,958.77,960.36,947.51,955.88,
21-June-2001,956.30,959.09,948.70,954.22,
22-June-2001,953.28,954.24,935.57,939.72,
25-June-2001,938.96,938.96,907.93,909.56,
26-June-2001,907.89,938.76,898.65,935.22,
27-June-2001,935.71,947.01,925.09,936.35,
28-June-2001,936.61,941.65,929.64,933.55,
29-June-2001,935.08,953.58,929.77,945.41,
2-July-2001,949.54,952.52,934.77,936.73,
3-July-2001,941.39,941.39,906.77,908.48,
4-July-2001,904.41,914.86,898.11,903.69,
5-July-2001,904.56,914.63,904.28,907.10,
6-July-2001,900.82,901.69,896.26,900.32,
9-July-2001,897.20,898.98,889.48,897.70,
10-July-2001,899.00,912.29,899.00,906.86,
11-July-2001,907.39,918.18,903.28,915.42,
12-July-2001,919.87,940.34,919.87,938.90,
13-July-2001,945.95,953.98,931.75,936.15,
16-July-2001,935.11,944.34,930.48,932.21,
17-July-2001,927.04,932.30,922.76,930.23,
18-July-2001,933.00,936.12,925.81,927.34,
19-July-2001,924.29,924.69,916.28,922.20,
20-July-2001,925.22,928.57,913.44,915.49,
23-July-2001,915.43,920.80,907.04,911.74,
24-July-2001,908.72,908.72,899.66,904.71,
25-July-2001,895.98,902.43,893.47,895.52,
26-July-2001,895.59,898.63,884.81,886.90,
27-July-2001,885.50,893.84,883.77,886.36,
30-July-2001,887.68,896.62,886.76,895.83,
31-July-2001,897.10,909.63,890.61,907.39,
1-August-2001,909.76,912.54,901.44,903.14,
2-August-2001,905.47,910.10,903.65,908.96,
3-August-2001,909.82,919.38,909.82,917.53,
6-August-2001,916.65,923.28,915.82,917.01,
7-August-2001,916.86,918.84,910.14,910.70,
8-August-2001,909.88,910.97,904.10,905.59,
9-August-2001,902.61,906.10,900.22,904.96,
10-August-2001,904.79,909.81,899.82,901.70,
13-August-2001,902.38,905.14,892.35,894.07,
14-August-2001,895.31,907.69,895.31,907.20,
16-August-2001,904.72,913.30,903.55,909.71,
17-August-2001,909.97,914.78,899.37,900.02,
20-August-2001,898.32,898.32,892.88,895.80,
21-August-2001,897.64,903.54,897.64,900.86,
23-August-2001,902.41,904.71,899.34,902.34,
24-August-2001,902.00,906.71,900.66,906.46,
27-August-2001,911.28,914.31,907.46,909.05,
28-August-2001,908.43,913.48,905.41,906.65,
29-August-2001,899.98,908.73,899.98,905.19,
30-August-2001,904.05,908.00,901.00,903.05,
31-August-2001,901.14,901.14,889.11,890.14,
3-September-2001,890.60,894.75,880.40,881.65,
4-September-2001,881.56,889.31,877.08,886.04,
5-September-2001,885.38,887.34,879.22,882.17,
6-September-2001,880.09,882.86,869.55,875.27,
7-September-2001,872.69,879.31,864.85,877.53,
10-September-2001,876.79,880.20,872.13,873.71,
11-September-2001,874.83,877.78,865.52,867.98,
12-September-2001,835.87,839.60,813.11,835.60,
13-September-2001,837.48,844.45,823.31,825.35,
14-September-2001,825.18,825.18,758.29,775.47,
17-September-2001,758.04,758.04,715.61,724.54,
18-September-2001,726.42,763.18,726.42,751.67,
19-September-2001,751.45,758.84,751.09,753.45,
20-September-2001,747.92,747.92,716.25,741.15,
21-September-2001,734.05,734.05,701.76,705.49,
24-September-2001,711.42,730.75,711.42,726.75,
25-September-2001,735.19,747.06,717.41,719.51,
26-September-2001,720.60,735.35,717.88,733.87,
27-September-2001,732.05,740.45,729.32,737.22,
28-September-2001,740.20,767.94,740.20,761.25,
1-October-2001,762.10,762.79,750.90,755.72,
3-October-2001,757.47,758.93,738.44,742.47,
4-October-2001,744.33,757.51,744.33,752.24,
5-October-2001,751.16,758.09,746.67,754.74,
8-October-2001,745.30,745.55,729.25,742.42,
9-October-2001,744.82,753.72,744.82,751.60,
10-October-2001,758.41,774.29,758.41,772.83,
11-October-2001,776.43,788.88,776.43,784.73,
12-October-2001,787.83,798.93,785.06,787.87,
15-October-2001,786.49,792.37,782.80,790.21,
16-October-2001,791.01,801.04,791.01,800.24,
17-October-2001,803.32,817.72,803.32,815.93,
18-October-2001,812.29,812.29,795.92,799.14,
19-October-2001,804.42,809.71,804.42,808.11,
22-October-2001,810.90,823.65,806.58,808.25,
23-October-2001,812.94,822.90,812.94,821.96,
24-October-2001,821.27,827.83,814.07,817.03,
25-October-2001,818.65,823.27,811.07,813.65,
29-October-2001,815.53,826.02,812.33,813.42,
30-October-2001,810.44,810.44,796.94,797.82,
31-October-2001,797.32,808.14,793.19,805.72,
1-November-2001,809.22,822.38,809.22,820.19,
2-November-2001,822.67,833.30,819.08,821.31,
